formula,frac_N,frac_O,frac_Ti,frac_V,frac_Zr,frac_Nb,frac_Hf,mendeleev_no,electrical_resistivity,velocity_of_sound,reflectivity,poissons_ratio,molar_volume,thermal_conductivity,boiling_point,melting_point,critical_temperature,superconduction_temperature,liquid_range,bulk_modulus,youngs_modulus,brinell_hardness,rigidity_modulus,vickers_hardness,density_of_solid,atomic_radius_calculated,van_der_waals_radius,coefficient_of_linear_thermal_expansion,enthalpy,entropy,delta,Tm,x_e,x_ch,potential_energy,deltaG,omega,VEC,YM(GPa),H(GPa)
Hf8.71 Zr14.42 Ti16.38 Nb3.39 V9.62 N45.99 O1.49,0.4599,0.0149,0.1638,0.0962,0.1442,0.0339,0.0871,74.261,0.474800182,2203.06039,6.772,0.657625,12.588371,13.74857526,2243.986144,1176.108815,60.86812,1.4724858,1067.877329,49.373,51.9481,444.9196,20.8632,548.031,3715.2136,1.262828,1.869946,0.4748038,396.6549992,12.87106697,0.381332689,1176.108815,1.205230983,2.099162322,3.304393305,-3464.665091,0.038163581,4.6198,391.2879523,29.69
Hf9.61 Zr14.01 Ti15.89 Nb3.74 V9.3 N47.45,0.4745,0,0.1589,0.093,0.1401,0.0374,0.0961,74.228,0.474500181,2192.0122,6.58,0.657909,12.550014,13.84325634,2256.79892,1183.170525,60.4074,1.4839718,1073.628395,49.9026,51.7605,454.6123,20.7646,558.0258,3796.6669,1.26696,1.871522,0.474503786,-196.8383652,12.39081867,0.380735324,1183.170525,1.203342966,0.402546405,1.605889371,-3914.083966,0.074479644,4.6049,380.1869738,31.96
Hf10.69 Zr14.01 Ti15.64 Nb4.26 V9.29 N46.12,0.461153885,0,0.156384362,0.092890711,0.140085991,0.04259574,0.106889311,73.57334267,0.461154069,2227.150605,6.573442656,0.649783022,12.54271373,14.31258154,2325.01873,1218.50411,58.73646635,1.518462354,1106.514621,51.66513349,52.82751725,474.8859114,21.15608439,581.3385661,3972.689831,1.287572243,1.880656934,0.46115775,-196.3728614,12.60984753,0.376905445,1218.50411,1.191238344,0.402996744,1.594235088,-3979.32712,0.078244778,4.596640336,345.9345193,32.2
Hf11.46 Zr12.94 Ti14.17 Nb4.66 V8.44 N48.33,0.4833,0,0.1417,0.0844,0.1294,0.0466,0.1146,74.6547,0.483300176,2131.56488,6.064,0.66491,12.612868,13.87468364,2250.864688,1180.457765,61.50916,1.5203928,1070.406923,50.2317,50.3547,468.1713,20.1639,570.9917,3922.0206,1.261564,1.868518,0.483303681,-197.766771,12.4110099,0.384809462,1180.457765,1.216219591,0.403356602,1.619576193,-3921.069741,0.074080559,4.6143,356.7496922,33.5
Hf13 Zr12.61 Ti13.84 Nb5.16 V8.63 N44.95 O1.81,0.4495,0.0181,0.1384,0.0863,0.1261,0.0516,0.13,73.9104,0.467600179,2172.25195,6.178,0.655433,12.664988,14.40889168,2329.85134,1222.380955,60.05756,1.559841,1107.470385,52.6977,51.7012,494.701,20.6354,599.6923,4145.0785,1.283899,1.878493,0.467603778,521.3206368,13.27377881,0.381497029,1222.380955,1.205750394,2.124434889,3.330185284,-3460.813007,0.031124059,4.6236,338.9716239,30.09
Hf14.28 Zr12.41 Ti13.59 Nb5.82 V8.38 N45.52,0.4552,0,0.1359,0.0838,0.1241,0.0582,0.1428,73.2816,0.455200182,2200.55272,6.028,0.648004,12.59602,14.88085782,2396.720672,1257.40926,57.99104,1.5944094,1139.311412,54.5383,52.6342,516.6462,20.9643,625.1189,4332.4316,1.3053,1.887838,0.455203847,-196.6652696,12.8013945,0.376632202,1257.40926,1.190374739,0.404012744,1.594387483,-4037.083621,0.081847659,4.5972,334.878191,30.11
Hf14.84 Zr11.3 Ti12.11 Nb6.01 V7.63 N46.74 O1.37,0.4674,0.0137,0.1211,0.0763,0.113,0.0601,0.1484,74.5623,0.481100172,2094.78839,5.578,0.665451,12.719387,14.29953709,2303.479904,1209.46773,61.6228,1.5854102,1094.012174,52.6641,49.8648,505.0687,19.8604,608.4195,4238.4758,1.272379,1.872696,0.481103641,347.7508402,13.01001224,0.386796076,1209.46773,1.222498435,2.092402593,3.314901028,-3555.252833,0.04524846,4.6312,359.6337777,33.32
Hf16.49 Zr10.8 Ti11.98 Nb6.88 V7.51 N44.94 O1.41,0.449355064,0.01409859,0.119788021,0.075092491,0.107989201,0.068793121,0.164883512,73.70532947,0.463453831,2138.783712,5.505549445,0.654810519,12.70340566,14.96608617,2393.532051,1257.720078,59.42479752,1.640183182,1135.811973,55.59494051,51.39816018,534.5164484,20.38776122,642.3320668,4486.437456,1.299267073,1.88459954,0.463457406,364.4237027,13.21872524,0.381458578,1257.720078,1.205628867,2.101063015,3.306691882,-3601.19387,0.045621226,4.621437856,323.7544862,30.19
Hf17.66 Zr10.49 Ti11.28 Nb7.12 V7.32 N44.9 O1.24,0.448955104,0.01239876,0.112788721,0.073192681,0.104889511,0.071192881,0.176582342,73.59434057,0.461354041,2132.256174,5.391560844,0.6540026,12.7179662,15.08051921,2416.009319,1269.189251,59.11362864,1.646829117,1146.820068,56.21067893,51.29467053,547.9492051,20.32826717,655.3061694,4599.376962,1.305359464,1.88710229,0.461357609,297.2794036,13.1559045,0.381252954,1269.189251,1.204978974,2.090396187,3.295375161,-3649.491948,0.056167136,4.618138186,336.5094808,32.04
Hf19.27 Zr10.21 Ti10.39 Nb7.77 V6.8 N45.55,0.455545555,0,0.103910391,0.068006801,0.102110211,0.077707771,0.192719272,73.28422842,0.455545731,2130.79688,5.080408041,0.651066107,12.70281728,15.3833039,2463.066087,1292.812456,58.03430343,1.67009861,1170.25363,57.27832783,51.34893489,568.7509751,20.3280328,677.9225923,4780.189919,1.319343934,1.892993299,0.455549306,-198.1041883,12.68034722,0.379316833,1292.812456,1.198859718,0.40565914,1.604518858,-4002.208355,0.082750955,4.601260126,323.4687233,30.68
Hf9.5 Zr13.87 Ti15.45 Nb3.39 V10.79 N45.11 O1.89,0.4511,0.0189,0.1545,0.1079,0.1387,0.0339,0.095,74.068,0.470000181,2219.12371,7.474,0.655231,12.566117,13.96175427,2266.383576,1191.356375,60.38076,1.524802,1075.027201,51.0807,52.6043,455.4586,21.0546,555.2903,3814.1192,1.268561,1.872334,0.470003834,554.201591,13.09724304,0.379924821,1191.356375,1.200781309,2.126244437,3.327025746,-3374.971321,0.028154888,4.6307,331.5947892,31.97
Hf10.36 Zr13.4 Ti14.8 Nb3.45 V10.29 N46.14 O1.57,0.461353865,0.01569843,0.147985201,0.102889711,0.133986601,0.03449655,0.103589641,74.39736026,0.477052473,2181.729617,7.173382662,0.660158984,12.59419558,13.7846568,2248.065337,1181.380792,61.17278272,1.505935206,1066.684546,50.6110389,51.62643736,459.6323368,20.66433357,557.4805519,3842.90281,1.262070793,1.869188081,0.477056058,428.3450855,12.96368781,0.382601919,1181.380792,1.209242483,2.104736142,3.313978625,-3460.761258,0.035754004,4.630136986,330.9688218,34.24
Hf11.6 Zr13.23 Ti14.64 Nb3.93 V10.03 N44.98 O1.59,0.4498,0.0159,0.1464,0.1003,0.1323,0.0393,0.116,73.8341,0.465700181,2207.22953,7.018,0.653281,12.598013,14.17524096,2308.731408,1212.65391,59.7572,1.524956,1096.077498,52.191,52.4574,480.3963,20.9607,580.965,4015.2898,1.280329,1.877266,0.465703827,436.4728273,13.15215787,0.37958557,1212.65391,1.199709083,2.110668073,3.310377157,-3509.174534,0.036540684,4.6212,350.2079363,31.59
Hf12.5 Zr12.43 Ti13.47 Nb4.34 V9.49 N46.36 O1.41,0.4636,0.0141,0.1347,0.0949,0.1243,0.0434,0.125,74.4193,0.477700176,2149.15771,6.694,0.661789,12.637404,13.99514957,2275.110316,1195.73246,61.20848,1.537313,1079.377856,51.731,51.0095,481.7575,20.3659,580.2648,4032.4149,1.267725,1.871223,0.477703718,364.9413013,13.01422284,0.38400455,1195.73246,1.213675605,2.095720638,3.309396243,-3539.325549,0.042641183,4.6301,345.230232,30.09
Hf13.81 Zr12.01 Ti13.19 Nb4.74 V9.22 N45.93 O1.09,0.459345935,0.01090109,0.131913191,0.092209221,0.120112011,0.04740474,0.138113811,74.04610461,0.470247202,2160.410271,6.532553255,0.657478748,12.63313731,14.27178062,2319.096138,1218.969982,60.18451845,1.550382838,1100.126156,53.10561056,51.49294929,500.5836584,20.51675168,600.4491449,4185.0041,1.280880088,1.876951695,0.470250779,238.9220908,13.02152725,0.381955254,1218.969982,1.207198649,2.078052663,3.285251313,-3667.536083,0.066435258,4.620762076,342.3385308,30.53
Hf15.44 Zr11.41 Ti12.73 Nb5.56 V8.87 N46,0.459954005,0,0.127287271,0.088691131,0.114088591,0.055594441,0.154384562,73.53244676,0.459954184,2176.544346,6.321467853,0.651651835,12.59656234,14.73860794,2380.967303,1252.230377,58.58624138,1.59340486,1128.736926,55.19958004,52.21517848,524.8245175,20.73812619,627.750125,4390.180182,1.299481052,1.884986501,0.459957811,-196.5403612,12.73113474,0.378415643,1252.230377,1.196011438,0.403437311,1.599448749,-4015.880784,0.081114706,4.604239576,304.9250885,27.05
Hf17.02 Zr11.23 Ti12.24 Nb6.12 V8.75 N44.65,0.446455354,0,0.122387761,0.087491251,0.112288771,0.061193881,0.170182982,72.86641336,0.446455537,2206.485751,6.249475052,0.643614639,12.59941606,15.21761133,2454.763964,1290.409284,56.89621038,1.624186181,1164.35468,57.14308569,53.17758224,550.3580642,21.079992,655.8018198,4607.29887,1.321486851,1.894665533,0.446459233,-195.9083501,12.87187471,0.374415767,1290.409284,1.183369525,0.403878166,1.587247692,-4057.470762,0.084784475,4.595140486,353.2808897,32.09
Hf17.71 Zr10.15 Ti11.06 Nb6.29 V8.2 N45.38 O1.21,0.4538,0.0121,0.1106,0.082,0.1015,0.0629,0.1771,73.8329,0.465900174,2124.69643,5.92,0.656829,12.697993,14.79164327,2386.025288,1255.73537,59.67432,1.6193488,1130.289918,56.0274,51.1118,544.4909,20.239,645.6224,4557.0806,1.296812,1.883288,0.465903723,285.7835553,13.08142534,0.382447701,1255.73537,1.208755065,2.08654231,3.295297375,-3638.644046,0.057479894,4.6229,323.3417551,27.69
Hf18.88 Zr9.9 Ti10.23 Nb6.77 V7.53 N46.69,0.4669,0,0.1023,0.0753,0.099,0.0677,0.1888,73.8526,0.466900173,2102.73184,5.518,0.658093,12.695437,14.87216003,2401.169084,1262.362045,59.45588,1.6252214,1138.807039,56.1439,50.539,556.1393,20.0108,658.0353,4659.322,1.300965,1.884799,0.466903685,-198.3058572,12.55127483,0.382847177,1262.362045,1.210017638,0.404988803,1.615006441,-3963.688306,0.079898058,4.6099,350.6696851,31.86
Hf21.09 Zr9.54 Ti10.09 Nb7.54 V7.15 N44.59,0.4459,0,0.1009,0.0715,0.0954,0.0754,0.2109,72.8127,0.445900179,2152.23924,5.29,0.645272,12.694528,15.5643176,2510.111824,1318.921995,56.82668,1.6549992,1191.189829,59.0973,52.1567,593.6267,20.5864,700.0791,4966.4736,1.334041,1.89947,0.445903807,-197.3579686,12.70023107,0.376259714,1318.921995,1.18919746,0.405489937,1.594687397,-4007.427291,0.084874273,4.5928,317.620486,28.93
Hf10.33 Zr13.04 Ti14.48 Nb3.25 V11.54 N47.36,0.4736,0,0.1448,0.1154,0.1304,0.0325,0.1033,74.2535,0.473600178,2203.24196,7.924,0.658191,12.481879,13.90533309,2254.073796,1188.57148,60.29472,1.5480714,1065.502316,51.884,52.3787,460.9116,20.9058,555.86,3860.6636,1.265236,1.870487,0.473603805,-194.6376644,12.4257559,0.379739797,1188.57148,1.200196527,0.400033545,1.600230072,-3922.364434,0.075878937,4.6215,348.3639302,31.02
Hf11.62 Zr12.78 Ti14.34 Nb3.62 V11.42 N46.21,0.462146215,0,0.143414341,0.114211421,0.127812781,0.03620362,0.116211621,73.68836884,0.462146395,2230.185579,7.852685269,0.651233123,12.47953195,14.27516356,2313.305587,1219.600965,58.86070607,1.563977998,1093.704621,53.57725773,53.27442744,482.1555156,21.22022202,579.0350035,4033.893089,1.283210321,1.878446845,0.462150086,-194.3964117,12.60675532,0.376585273,1219.600965,1.190226415,0.4005672,1.590793615,-3976.423009,0.079092051,4.612561256,363.7549268,33.79
Hf12.19 Zr11.67 Ti12.54 Nb3.82 V10.33 N47.71 O1.73,0.477147715,0.01730173,0.125412541,0.103310331,0.116711671,0.03820382,0.121912191,75.27632763,0.494449614,2098.382148,7.198619862,0.672877288,12.64341434,13.52583591,2197.679884,1158.919387,63.39643964,1.542674467,1038.760497,50.84118412,49.7229723,466.40004,19.82878288,557.4086409,3906.922592,1.242541254,1.859765977,0.494453055,490.809797,12.88848498,0.388847789,1158.919387,1.228983031,2.1091561,3.338139131,-3375.735697,0.030432797,4.653265327,325.4078518,30.21
Hf13.81 Zr11.58 Ti12.45 Nb4.36 V10.32 N47.48,0.4748,0,0.1245,0.1032,0.1158,0.0436,0.1381,74.2923,0.474800174,2151.86428,7.192,0.660733,12.563864,14.14456408,2294.018928,1209.27724,60.44496,1.5734948,1084.741688,53.4006,51.3506,496.556,20.4244,591.2248,4157.8851,1.273604,1.873504,0.474803731,-195.9867744,12.53048468,0.382252513,1209.27724,1.208138158,0.401758648,1.609896807,-3955.132178,0.077315574,4.6216,307.9141819,26
Hf14.77 Zr10.93 Ti11.8 Nb4.54 V9.54 N48.44,0.484303139,0,0.117976405,0.095380924,0.109278144,0.045390922,0.147670466,74.74155169,0.48430331,2102.628314,6.722855429,0.667295541,12.61465707,13.92572691,2267.87121,1195.175185,61.63475305,1.551978204,1072.696025,52.79214157,50.09358128,500.3329334,19.91931614,593.314837,4180.985503,1.264091182,1.868986203,0.484306781,-196.9916519,12.40665235,0.386022107,1195.175185,1.220052248,0.402427967,1.622480215,-3918.987356,0.07527285,4.625074985,322.6438421,28.63
Hf16.08 Zr10.27 Ti10.88 Nb4.79 V9.19 N47.02 O1.77,0.4702,0.0177,0.1088,0.0919,0.1027,0.0479,0.1608,74.9301,0.487900168,2072.93447,6.514,0.670293,12.715783,13.90221573,2268.707712,1195.64997,62.58776,1.5539844,1073.057742,53.0936,49.4274,511.4713,19.6277,602.7112,4271.7892,1.261313,1.867542,0.487903591,505.0669742,12.97138721,0.389133627,1195.64997,1.229886442,2.11380567,3.343692112,-3386.34919,0.030707291,4.6454,310.0282812,24.46
Hf17.97 Zr10.49 Ti11.56 Nb5.46 V9.34 N45.18,0.4518,0,0.1156,0.0934,0.1049,0.0546,0.1797,73.1381,0.45180018,2184.73348,6.604,0.647345,12.601628,14.94446999,2431.486448,1280.46319,57.56536,1.5944406,1151.023258,57.2657,52.6994,555.7372,20.8555,654.3077,4634.8679,1.314156,1.89123,0.451803835,-196.0658543,12.75068841,0.376427949,1280.46319,1.18972918,0.403487627,1.593216806,-4021.272376,0.083271956,4.5998,355.635849,31.74
Hf19.56 Zr9.86 Ti10.48 Nb6.08 V8.79 N45.22,0.452245225,0,0.104810481,0.087908791,0.098609861,0.060806081,0.195619562,73.15251525,0.452245402,2160.785999,6.274527453,0.648539854,12.64015202,15.09348967,2452.211813,1291.137224,57.62110211,1.616524452,1161.074589,58.00060006,52.2110211,572.1062106,20.6289629,670.9242924,4776.809081,1.318468847,1.892790279,0.452249024,-196.6456887,12.69532098,0.377459301,1291.137224,1.192988846,0.404114372,1.597103218,-4005.241984,0.083355001,4.600960096,318.1558485,28.42
Hf20.03 Zr9.12 Ti9.7 Nb6.25 V8.02 N45.44 O1.44,0.4544,0.0144,0.097,0.0802,0.0912,0.0625,0.2003,73.9685,0.468800172,2090.41484,5.812,0.659633,12.749435,14.7118199,2394.130964,1260.69304,60.10272,1.6000754,1133.437924,56.72,50.3739,566.0764,19.8998,662.306,4723.091,1.297484,1.883187,0.468803666,375.5614046,12.98641062,0.384649773,1260.69304,1.215714879,2.097919469,3.313634348,-3520.361782,0.043593078,4.6259,310.1372702,29.39
Hf21.94 Zr8.62 Ti9.27 Nb6.83 V7.42 N44.75 O1.16,0.447544754,0.01160116,0.092709271,0.074207421,0.086208621,0.068306831,0.219421942,73.47714771,0.459146089,2100.947095,5.452445245,0.654089409,12.76242324,15.06997425,2455.022322,1291.964051,58.81454145,1.609461146,1163.058271,58.36513651,50.86128613,592.7679768,20.04930493,691.1834183,4938.907091,1.315491549,1.891019102,0.45914962,265.2964758,12.90768586,0.382003631,1291.964051,1.207351548,2.081420348,3.288771896,-3607.009281,0.062858981,4.613261326,343.3501012,31.64
Hf10.85 Zr11.8 Ti12.84 Nb2.94 V12.09 N47.89 O1.59,0.4789,0.0159,0.1284,0.1209,0.118,0.0294,0.1085,75.3381,0.494800168,2124.98629,8.254,0.672646,12.563396,13.38259261,2169.519684,1148.070065,63.40052,1.556838,1021.449619,51.0138,50.4384,451.1428,20.0929,537.29,3782.2836,1.235511,1.856837,0.494803647,437.8623019,12.75668483,0.387273977,1148.070065,1.224008878,2.099100186,3.323109063,-3389.143147,0.033447885,4.661,336.2669712,32.69
Hf12.53 Zr12.15 Ti13.23 Nb3.53 V12.54 N44.42 O1.59,0.444244424,0.01590159,0.132313231,0.125412541,0.121512151,0.03530353,0.125312531,73.64156416,0.460146193,2234.69984,8.524752475,0.650690069,12.51250425,14.3939357,2325.415934,1229.172347,59.06188619,1.607019102,1096.243586,54.98809881,53.60536054,491.9530953,21.28712871,584.4392439,4124.693169,1.28460246,1.878914891,0.460149896,439.2329677,13.20939173,0.376992123,1229.172347,1.191512294,2.112293837,3.303806131,-3523.584551,0.036965848,4.636763676,360.9546586,33.37
Hf13.66 Zr11.62 Ti12.54 Nb3.6 V11.69 N46.9,0.468953105,0,0.125387461,0.116888311,0.116188381,0.0359964,0.136586341,74.03239676,0.46895328,2186.465753,8.01329867,0.656765323,12.51078092,14.15179909,2303.389501,1216.636086,59.71292871,1.571629637,1086.753415,54.22377762,52.30976902,497.8648135,20.77942206,588.3259674,4162.733727,1.27789521,1.875563444,0.468956896,-194.7248692,12.53861858,0.379696413,1216.636086,1.20005941,0.400560081,1.600619491,-3956.310442,0.078340974,4.621837816,355.336903,32.62
Hf14.59 Zr10.54 Ti11.37 Nb3.77 V10.8 N48.94,0.489351065,0,0.113688631,0.107989201,0.105389461,0.03769623,0.145885411,75.02089791,0.489351233,2097.127127,7.479352065,0.670575942,12.58044096,13.67637356,2233.880696,1180.785891,62.26675332,1.549619238,1053.094805,52.83451655,50.00349965,493.960404,19.8540146,580.2685731,4123.680332,1.253972603,1.864435556,0.489354686,-195.9012748,12.29546785,0.3869263,1180.785891,1.222910018,0.40085801,1.623768028,-3884.541629,0.074110365,4.635036496,367.1060779,31.76
Hf15.89 Zr10.25 Ti11.05 Nb4.18 V10.15 N48.48,0.4848,0,0.1105,0.1015,0.1025,0.0418,0.1589,74.7794,0.484800169,2095.29228,7.09,0.668078,12.609752,13.85942238,2268.816128,1197.89504,61.69696,1.5466142,1070.921088,53.5673,50.048,510.8646,19.8552,598.8093,4259.2358,1.263959,1.868746,0.48480363,-196.6418398,12.34776486,0.38638466,1197.89504,1.221198123,0.401941519,1.623139642,-3900.971298,0.075219629,4.6281,337.804275,29.94
Hf18.11 Zr10.27 Ti10.92 Nb4.9 V10.54 N45.26,0.4526,0,0.1092,0.1054,0.1027,0.049,0.1811,73.2051,0.452600178,2189.59036,7.324,0.648067,12.571528,14.85489066,2421.355136,1277.71403,57.66552,1.6045178,1143.641106,57.6823,52.8654,555.52,20.8953,648.7219,4635.6617,1.311152,1.889814,0.452603836,-195.2531601,12.71069011,0.37641785,1277.71403,1.189697262,0.402446101,1.592143363,-4008.460192,0.083177282,4.607,332.6232274,31.07
Hf18.77 Zr9.23 Ti9.97 Nb5.03 V9.31 N47.71,0.477004599,0,0.099680064,0.093081384,0.092281544,0.050289942,0.187662468,74.38082384,0.477004769,2086.7982,6.584883023,0.664269146,12.65428614,14.24517446,2333.710614,1231.705414,60.7209758,1.565010598,1102.0052,55.61927614,50.14757049,546.3256349,19.82393521,635.6206759,4548.079684,1.281740652,1.876267746,0.477008239,-197.4173764,12.37340431,0.385386616,1231.705414,1.218043728,0.403180593,1.62122432,-3909.438669,0.077198823,4.620375925,327.6397226,34.75
Hf20.61 Zr9.13 Ti9.71 Nb5.67 V9.04 N44.47 O1.38,0.444655534,0.01379862,0.097090291,0.090390961,0.091290871,0.056694331,0.206079392,73.4739526,0.45845433,2131.355284,6.423457654,0.652933707,12.70887811,14.85096831,2430.625789,1281.178757,58.79034097,1.591889611,1149.447032,57.9990001,51.52584742,578.1416858,20.32816718,671.3734627,4813.515148,1.310036996,1.888889111,0.458457899,353.1319065,13.05293865,0.380900813,1281.178757,1.203866007,2.097106274,3.30097228,-3562.749687,0.04735666,4.619338066,317.4001622,28.11
Hf21.8 Zr8.56 Ti9 Nb5.89 V8.68 N44.58 O1.48,0.445844584,0.01480148,0.090009001,0.086808681,0.085608561,0.058905891,0.218021802,73.57545755,0.460646238,2108.468727,6.208520852,0.654905491,12.7420292,14.84759316,2435.138062,1283.661296,59.09324932,1.590424042,1151.476766,58.3330333,51.02540254,589.060306,20.10521052,681.0639064,4900.623262,1.310109011,1.888680868,0.460649772,391.9624054,12.9764975,0.382330607,1283.661296,1.208384979,2.10117035,3.30955533,-3500.986845,0.042497513,4.621162116,331.6911414,32.13
Hf23.6 Zr7.78 Ti8.64 Nb6.29 V8.11 N44.28 O1.29,0.442844284,0.01290129,0.086408641,0.081108111,0.077807781,0.062906291,0.236023602,73.32193219,0.455745749,2104.428273,5.866486649,0.652352235,12.75858286,15.04218462,2472.262714,1303.448905,58.42574257,1.587849785,1168.813809,59.67246725,51.16691669,611.3744374,20.10861086,703.9062906,5072.657566,1.320727073,1.893214321,0.455749294,317.0990601,12.85109877,0.381170931,1303.448905,1.204719736,2.088361563,3.293081299,-3538.23057,0.052824977,4.612661266,298.2811137,27.01
Hf11.94 Zr11.25 Ti12.33 Nb2.89 V13.08 N46.72 O1.79,0.4672,0.0179,0.1233,0.1308,0.1125,0.0289,0.1194,74.8936,0.485100169,2155.91717,8.848,0.66694,12.531773,13.67424356,2211.959872,1173.39098,62.24288,1.5919732,1038.568892,53.1356,51.528,468.2857,20.4506,552.108,3924.7607,1.248224,1.862426,0.485103716,516.9826004,12.91783418,0.384446381,1173.39098,1.215072045,2.115026519,3.330098563,-3358.367654,0.029319498,4.6627,350.2573951,29.06
Hf13.07 Zr11.04 Ti11.6 Nb3.25 V13.16 N46.04 O1.84,0.4604,0.0184,0.116,0.1316,0.1104,0.0325,0.1307,74.5879,0.47880017,2165.79444,8.896,0.663507,12.538783,13.9442812,2251.762724,1194.31574,61.46832,1.6205386,1057.446984,54.3072,51.8939,484.0496,20.5672,568.2668,4064.3232,1.259482,1.867263,0.478803741,536.5279629,13.03703315,0.383172875,1194.31574,1.211047032,2.12063524,3.331682272,-3374.581982,0.029020545,4.6613,313.0395639,29.31
Hf14.45 Zr10.6 Ti11.83 Nb3.5 V12.59 N45.75 O1.28,0.4575,0.0128,0.1183,0.1259,0.106,0.035,0.1445,74.1487,0.470300173,2180.097,8.554,0.658244,12.530208,14.16915745,2297.47576,1217.941815,60.24508,1.604386,1079.533945,55.5783,52.4623,504.5483,20.7558,590.5245,4216.3084,1.274061,1.873722,0.470303787,317.0048638,12.9848504,0.380717281,1217.941815,1.203285941,2.08881758,3.292103521,-3578.450255,0.049888169,4.644,345.6232364,34.56
Hf16.09 Zr10.48 Ti11.13 Nb3.87 V12.11 N44.66 O1.66,0.4466,0.0166,0.1113,0.1211,0.1048,0.0387,0.1609,73.7836,0.463200175,2184.47926,8.266,0.654268,12.577837,14.41557691,2347.302196,1242.11721,59.46408,1.6041582,1105.184986,56.465,52.6149,526.338,20.8081,613.3774,4397.6041,1.288219,1.879859,0.463203804,465.6027288,13.17227664,0.379759602,1242.11721,1.200259123,2.11505917,3.315318293,-3486.080263,0.035140497,4.6396,357.8152838,33.02
Hf17.43 Zr10.07 Ti10.48 Nb4.16 V11.49 N45.25 O1.13,0.452454755,0.01129887,0.104789521,0.114888511,0.100689931,0.04159584,0.174282572,73.78742126,0.463753799,2164.212329,7.893310669,0.655152485,12.59773223,14.44944348,2361.779882,1248.75339,59.38284172,1.594557944,1113.026492,56.71582842,52.13358664,539.9864014,20.60613939,626.8264174,4506.488451,1.291975802,1.881271873,0.463757397,256.4734355,12.99022092,0.380453308,1248.75339,1.202451634,2.080912964,3.283364598,-3640.592842,0.063248587,4.631536846,362.5966059,31.59
Hf18.18 Zr9.19 Ti9.42 Nb4.25 V10.07 N47.3 O1.58,0.473047305,0.01580158,0.094209421,0.100710071,0.091909191,0.04250425,0.181818182,74.99089909,0.488849051,2056.532953,7.04260426,0.671782178,12.71219622,13.79821738,2274.126953,1201.507941,62.65264526,1.542868687,1072.619012,54.28312831,49.20262026,531.3037304,19.47014701,614.2175218,4423.111411,1.262187219,1.867564756,0.488852448,431.2091781,12.77884173,0.389911275,1201.507941,1.232344258,2.099612652,3.33195691,-3402.443342,0.03560657,4.647864786,327.7834436,28.83
Hf20.48 Zr8.78 Ti9.15 Nb4.9 V10.44 N44.73 O1.52,0.4473,0.0152,0.0915,0.1044,0.0878,0.049,0.2048,73.7085,0.462500173,2129.52728,7.264,0.655636,12.67662,14.63715777,2401.423568,1269.359125,59.33668,1.5958824,1132.064443,58.1773,51.5295,572.8337,20.2987,659.1921,4768.2208,1.30122,1.88491,0.46250373,408.9941925,13.00660237,0.381854491,1269.359125,1.206880179,2.1039138,3.310793979,-3492.98652,0.040367442,4.6311,325.0895932,30.28
Hf21.36 Zr7.82 Ti8.96 Nb5.06 V9.37 N45.53 O1.9,0.4553,0.019,0.0896,0.0937,0.0782,0.0506,0.2136,74.272,0.474300169,2072.32058,6.622,0.663501,12.742676,14.33196542,2362.234008,1249.049765,60.92196,1.5592128,1113.184243,57.4985,50.1529,574.6631,19.732,659.5725,4762.6267,1.287579,1.878632,0.474303633,555.9661808,12.90012738,0.386601785,1249.049765,1.221884364,2.121928575,3.343812939,-3314.072034,0.028981801,4.6376,342.1266104,31.09
Hf23.54 Zr7.73 Ti8.6 Nb5.44 V9.23 N44.28 O1.18,0.4428,0.0118,0.086,0.0923,0.0773,0.0544,0.2354,73.2829,0.454600175,2119.99858,6.538,0.651411,12.72001,14.89475117,2463.797168,1300.98888,58.25104,1.5679042,1162.808288,59.9019,51.5746,610.4584,20.2568,697.7529,5054.6919,1.319407,1.89271,0.454603742,274.4430942,12.81090571,0.38029313,1300.98888,1.20194538,2.08138276,3.28332814,-3568.82862,0.060729697,4.6131,350.405792,30.87
Hf24.6 Zr7.14 Ti7.73 Nb5.61 V8.22 N45.86 O0.85,0.458554145,0.00849915,0.077292271,0.082191781,0.071392861,0.056094391,0.245975402,73.86411359,0.467053465,2057.343976,5.931506849,0.659920008,12.77693331,14.58901267,2428.929603,1281.424488,59.71644836,1.535713429,1147.505115,58.78462154,49.88421158,613.2737726,19.59774023,698.4860514,5070.515548,1.307217278,1.886918308,0.467056917,141.7731353,12.44112673,0.385301609,1281.424488,1.217775057,2.052663662,3.270438719,-3590.564882,0.112449826,4.613838616,359.1328143,28.95
Hf12.79 Zr10.61 Ti11.29 Nb2.79 V14.49 N45.8 O2.22,0.458045805,0.02220222,0.112911291,0.144914491,0.106110611,0.02790279,0.127912791,74.70477048,0.480248193,2173.455646,9.694869487,0.664564456,12.50344134,13.87810803,2233.187539,1188.691129,61.75759576,1.647151915,1044.49641,55.00680068,52.24952495,479.2911291,20.65866587,558.7865787,4027.331333,1.253584358,1.864634463,0.480251776,685.3144111,13.04795347,0.383001842,1188.691129,1.210506469,2.141776417,3.352282886,-3229.071629,0.022631928,4.675267527,303.057683,29.22
